希腊语	来源	自 希腊语
当地 大 地主	反抗	这 个 刚刚 独立 的 巴西 帝国
卡特斯 总统	访问	巴西
香港	将 获 誉为	华人 娱乐 码 头
足球	是	卡达 政府 最受 欢迎 的 运动
巴林 王国	依赖	石油
澳洲 政府	有	世界 自然 遗产 最多
政府	试图 建立	持续 增长 的 经济 模式
天衣 派 的 僧侣	开始 裸身 巡遊	全 印度
马赛 城市	出现	在 20 世纪 70
塔利班	取得	整个 国家 的 控制
蛇	不是	哺乳 类
河流	发 挥著	在 全國 電力 生产
纳粹 德国	是	少数 欧洲 国家
巴拉圭	就職	8 月 15
现代 加拿大	殖民 地 保持	与 英国 、 法国 以及 前 英法
毛 里求斯 本岛	成	中 等 收入 的 多 元 经济
面积	为	5350 平方公里
高通	曾 开发	和 销售 CDMA 手机 和 CDMA 基站 设备
海因里希 · 赫兹	证实	电磁 波— —现 在 一般 称 为 无线 电波
印度 国家 国防 学院	被 创办	今天 的 浦那
己烷	也算 是	烷namespace 的 一 种
割據 两廣 的 南汉 国 统治	获 誉为	香港
苏联	加快	了 洲際 弹道 导 弹 研发 的 計劃
安卡拉	成 为	土耳其 共和 国 的 首
这	使得	这 个 地址 被 封禁
这	是	伯努利 定律 的 一 种 特殊 情况 Category
美国 政府	导致	如今 恐怖 组织 的 对 中 东 威胁 的 加重
这	激怒	欧麦尔 的
詹姆斯 · 瓦特	成 为	自然 神论 者
莫哈	是	马来西亚
阿道夫 · 希特勒	抵达	布拉格
H	持有	10
乙炔	具	硝化 、 反 硝化 抑制 作用
美国 政府	明知	恐怖 组织 的 威胁
先知 穆罕默德	指	穆斯林 不 承認 耶稣 的 神性
Agnes Muirhead	的 母亲	瓦特
这 种 方法	交给	机器
己烷	化	学式 CH
当时 已 知氰 水解 的 产物	为	草酸
欧盟	实行	出口 管控 措施
最廣 的 社交 网站	分布	世界 上
冬天 的 巴黎	荣登	2013 年 全球 旅遊 目 的 地 首选
世界	开始 毁坏	当处
乙酸	也 被 用	来 做成 喷射 防腐 剂
它們	成立	在 普遍 的 自然 法中
研究	有	特定 利益
由 於納米比亞 本土 的 政治 家起 義 以及 政治 代表	寻求	独立
本片	解 释	此 标题
硝酸	一定 要 盛放	在 棕色 瓶
政府	只 在 确有 必要 时始 推行	改革
先知 穆罕默德	公正 地 调解	麦加 的 部族 对 黑石 问题 的 争吵
人	没有	地球 上
香港	一直 参加	亚洲 运 动会
世界 排名 已跌 至 286 名 的 林丹	成功 卫冕	伦敦 奥运 会
詹姆斯 · 瓦特	开始	新式 蒸汽 机 的 试制
部分	制作	时间
林丹	受到	李 宗伟 下压
美国	是	坦主 要 投资 和 援助 国 之 一
苏联	发动	了 大 反攻
伊拉克 的 军事 政权	取得	武器
自然 农法 模式	最受 欢迎	印度
香港	是	国际 金融 中心 、 工商 服务 业 及 航運 中心
政府	试图	建立 可 持续 增长 的 经济 模式
撒切尔夫	首相	英国
的 原住 民保 留区	规劃	政府
冬天 的 巴黎	也是	世界 上 上 生活 費用 最高 的 城市
乙醚	可以	和 强酸 反应
一 个 哲學 流派	受	希腊
荷兰 政府	已 流亡	英国
不少 基督 徒	居住	今天 的 浦那
土耳其	已大 大 降 低	加入 欧洲 联盟 的 积极 性
邓 小平	访问	马来西亚
马赛 城市	写作	在 奥克 语
这	是	中国 最 古老 的 社会 养老 保险 思想
部分 氢化 椰子 油来	做	实验
该片	开起来	更 有机
沙特 阿拉伯 的 利雅德 和 伊拉克 的 巴格达年	超过	今天 凤凰 城
廷布	译	为辛布 、 亭孚 、 亭布 等
義大利	加入	该
该片	使	普兰 · 黛维 闻名 国际
麦地那	改信	伊斯兰教
这	是 插	完国 旗后 总统 理 查德 · 尼克松 电话
土耳其	疏離	与 欧洲 联盟 关係
全体 国会 成员	自发 起立 唱起	国歌
德國	維持	管治
大量 黑脚 和	离开	法兰西
穆斯林	主張	麦 卡托 投影 法
新加坡 共和 国	加入	联合 国
冬天 的 巴黎	是	法國 的 首都
城市	有	公元 前 3000 年
意大利	占领	法国 东南 部
唐納 · 川普	是	美国
美国 政府	历来	第一 个 副 总统 的 职
诗歌	带来	巨大 的 声誉
历史	允许	Stephen Koenig Armstrong 犯下 这 个 小错
林丹	进入	世界 羽联 超级 系列 赛 总 决赛
父亲	死于	某种 尚 未 确诊 的 疾病
铅 的 摄入	会 危害	健康
软件	会 创建	关联 动作
穆罕默德 二世	开始 建造	大 巴扎
穆斯林	要团	一致 和 不要 分裂
今天 的 浦那	的 缩影	马拉地 文化
这棵 天体	撞击	地球
義大利	明顯 违反	第十条 的 规
穆斯林	不 承认	耶稣 的 神性
土壤	为 主體, 进行	以 作物
政府	积 极鼓 励	此 种 趋势
法律	不需 要 有	道德 上 的 理由
乙酸	带	负电 性
和 奥尔斯顿	乘坐 " Lydia " 出航	英格兰
意大利	入侵	埃及
意大利	进 一 步 占领	更多 的 法國 南部 领土 及 摩纳哥 公国
这	会 導致	利潤 的 下降 和 资本 主义 工业 的 崩潰
文學	已 具有	一定 成就
纳粹 德国	几乎 占领	欧洲 大 部分 的 地区
该 设备	是	市面 上 第一 款 智能 手机
劍橋 大学 圣 约翰 学院	前往	英国
巨大 成 就	取得	苏联
英國	脱离	欧盟
战争	成 为	国际 冲突
李 小龍	回到	香港
黑天	是	耆那 教 24 位 祖师 之 一
土耳其	成 为	欧洲 共同 体 的 准会 员国
细胞	得 以 获得	完整 的 脱氧 核 醣 核酸 複 产品
这些 光 量 子	被 称	光子
乙酸	混合	与 氨水 和 硝酸镧 溶液
印度	維持	不 結盟 政策
疫苗	获得	批准
太阳	不是	地球
鄧 紹昌	不滿	对旧 社会
其中 的 一 位 教授	成	詹姆斯 · 瓦特
土耳其	成	欧洲 共同 体 的 准会 员国
珠寶	演变	由 配飾 用途
男性	进行	結 紮时 的 年齡 较轻
印度	成功 试射	烈 火
地球 碎屑 的 半数	会合 形成	原始 月球
英国	宣布	免除 了 坦桑尼 亚 所欠 全部 债务
欧盟	延迟 交付 宣佈	起訴 阿斯利康
法语	是	国际 奥林匹克 委员 会 的 官方 语言 之 一
印度	开始 参与	每 一 届 的 夏季 奥 运会 赛事
六 頁长 的 通知	信知 会	欧盟
梵语	是	老师, 指引 者 或 导师
林丹	拿下	马来西亚 的 李 宗伟
印度 这 块 大陆	转 为	由 英国 东 印度 公司
林丹	成	羽毛 球 历史 上 第一 届 球员
安卡拉	有	60% 的 土地 被 用作 農 业用 地
弗吉尼亚 的 代表	不 急于 支持	独立
受 教育 的 读者	不 需要	翻译
俄语	被 廣泛 地 使用	在 华沙 条 约成 员國 的 学校
伊斯兰 教 的 突厥 人	入侵	印度
冬天 的 巴黎	結束	了 百 年 战争
英国	批准	巴苏陀兰 宪法 改革 的 白皮 书
伊朗 的 革命	推翻 世俗 政权 建立	伊斯兰国
普兰 · 黛维	是	父亲
部份	栖於	树
阿夫多	访问	巴西
香港	可以 参 与	国际 事務
法国	已经 建立	新共 和 政府
三氯乙酸	重新 生成	乙酸
德國	投降	1945 年 5 月 8
詹姆斯 · 瓦特	进行	了 修理
政府	計畫	離開 政府 后 便 领 臺 灣 製藥 公司
半岛	延伸	由 沙特阿拉伯 向 北
庞贝	位	于 那不勒斯 湾 维苏威 火山 脚下
香港	被 形容	为 「 示威 之 都
印度 共和	通称	印度
长度	蔓延	在 海湾 海岸 线
电影	耗資	$ 15,000,000 美
成功 的 第一 枚 洲際 弹道 导 弹	試射	世界 上
婆罗 门	生成	由 头部 或 嘴
乙炔	会 聚合 生成	乙烯基 乙炔 ( ) 和 苯
原始 月球	有	一 个 铁 核心
其中	确定	一 年 的 持续 时间
国家	有 关	在 行政 控制 下 的
蒸汽 机 的 整体 发明	属 于	詹姆斯 · 瓦特
信息	包含	敏感 关键 字
0	是	1 与 1 之间 的 整数, 也是 偶数
的 克尔白 朝聖	前往	麦加
纳粹 德国	决定	要 对 巴尔幹 地区 进行 干预
360 个 偶像	清除克	麦加
患者	占	30% 的 病例
美国 政府	一直 批评	数 个 国家 和 地区 的 人权 状况
宾头娑罗	是	孔 雀 王朝 建立 者 的 儿子
巴基斯坦	通称	印度
的 工作 人 员	打理	麦加
Mars Atmosphere and Volatile Evolution Mission	称	MAVEN
马赛 城市	吸引	越来越多 来 自 非洲 及 中东 地区 的 移民
毛 里求斯 本岛	通过	新 的 宪法
1918 年 芬兰 共和	通称	芬兰
这	根本 不是	悲剧
印度	已 经 式微	只有 在 靠近 中国 的 边界
加拿大 联邦	组成	现代 加拿大
伊拉克	称	自於 苏
巴基斯坦	造成	5 名 士兵 受伤
的 藉口	有 入侵	捷克 斯洛伐克
男性	希望	恢復 生育 能力
詹姆斯 · 瓦特	能 保持	长久 的 友谊
冬天 的 巴黎	用作	对齐 ” ( alignement ) 法规 的 同 义词
印度 裔 英国 作家 萨尔曼 · 鲁西迪	褻瀆	穆罕默德
澳洲	加入 亚洲 足协 成	南 美 洲 最強 的 足球 国家
记忆	挑起	战争
教堂	可以 吸引	1,200 万与 800万 人 次 造访
国际 联盟	交给	南非
死亡 事件	注射	疫苗
现代 加拿大	有	一 段 时间 没有 与 欧洲 接触
富士山	作 为	和歌
听筒 部	为	白色
技术	勤於	机械 作業
今天 凤凰 城	有	两份 主要 的 日報
电影	接近	1/3 的 英 文 对 白 转 成 印地 文
安卡拉	又 称	Ancyra
厄立 特里亚 政府	采取 关闭	部分 私营 企业
巴黎	停止	盲目 扩張
政府	开始 实施	一 项 雄心 勃勃 的 改善 商业 环境 的 计劃
索末菲还	出访	美国
纳粹 德国	开始 尝试 建立	一 个 帝国
微软	宣布 完成	这 项 85億 美 元 現金 併購 交易 程序
印度	执政	贾瓦哈拉尔 · 尼赫鲁
越南	出兵	柬埔寨 王国
法律	是 影响	人们
萧伯纳	乘	不 列 顛 皇后 号 抵达 第一 站 香港
电影	放映	在 岸边
前線 人员	接種	疫苗
英国	撤军	从 印度
印度 政府	拒绝	起 訴该 地区 的 虐待 行为
罗尔夫 · 哈里斯	的 大师	澳洲
乙酸	可 产生	乙酸 酯
冯 玉祥 将军	访问	苏联
近 95% 人口	为	巴拉圭
恩智 浦 半 導體	不得 不 放棄	收购
部落	预定	在 第342 条 规定
毛 里求斯 本岛	将 成	英联 邦内 的 一 个 共和
建筑	学习	在 巴黎
穆斯林	避免	性交
汽车	冲过	检查 站
硼	有	两 种 同 素异 形体
中国 大陸	决定 提早 收回	香港
毗湿奴	抓住	湿婆 的 鹿 角
印度 军队 的 一 名 成員	受到 侵犯	人权
大 部分 物质	形成	原始 月球
欧盟	可能 不会 再 同意	英国 脱欧 延期
香港	获 评选	为 世界 最自 由 经济体
印度 政府	起 訴	该 地区 的 虐待 行为
疼痛	会 出现	在 特定 时刻
新加坡 共和 国	通称	星国 、 星洲 、 新加坡 或 星加坡
苏联 政府	接管	文化 事務
私人 企业	控制	国家
巴拉圭	是	一 个 发展 中国 家
这	就是	旧石 器 时代 向 新石 器 时代 的 过渡 階段
含羞草	原产	于 巴西
这	或 许是	最廣 为 流传 的 成果
冬天 的 巴黎	也是	欧洲 第7
南 印度 迈索尔 王国	成	英国 辖下 土邦
腐败	无异 于 自毁	长城
法国 的 权力 中心	变 为	冬天 的 巴黎
男性	为	73.34
印度 政府	重点 发展	轨道 交通 ( 地铁 系统 ) 、 快速 公交
香港	没有 发生	罢工 事件
乙酸	含有	α氢
微软	称	Windows 10 的 服务
现代 加拿大	投入 大约 299亿 加 元 用作	研究 开发
第三 任 总统 湯瑪斯 · 杰佛逊	搬入	白宮
墨西哥	城位	于 被 称为 墨西哥 谷 的 盆地 地区 中央
的 无助 女人	逼害	政府
美国	决定 采取	新 方案
的 方式	切开	血管
中部	是	平原
女性	多出	551,500 人
法國	批准 使用	莫德纳 疫苗
其中	具有	代表
卢戈 总统	访问	巴西
英国 军队	占领	美索不达米亚
英国	耗费	了 大筆 金錢
祖 玛到 医院	出访	莫桑比克
各省	尝试 通过 修改	宪法
Windows 10	发布	于 2015 年 7
穆罕默德	逝世	632 年
罗納德 · 雷根	的 总 统	美国
希瓦吉	鼓励	在 帕瓦蒂 和 孔德瓦 建造 堤坝
原始 月球	形成	时 间 点 比 以往 所 认为 的 久
佛教	为	国教
南非	逐渐 实现	民主 化 和 种族 平等
世界 排名 已跌 至 286 名 的 林丹	提到	在 自傳
法國	扩大	新冠 疫苗 加 强针 接种 范围
2009 年 世界 青年 排球 锦标 赛 男子 赛	举行	今天 的 浦那
马赛 城市	发现	首例 黑死病 病例
男性	为	64.71%
该 地区 主要 经济 来源	依靠	农业
这	不是 指	落款 或 ( 普遍 把 落款 讹 误成 签名
法国	为	2.71万亿 美
亚油酸	代谢	Δ - 去 饱和 酶
英国 政府	进行 制约	对 火灾 保险
疫苗	言	对於 那些 国家
脑膜 炎有	可能 危及	生命
政府	有意	在 公共 场 所 限制 上 海話 的 使用
穆阿迈尔 · 卡扎菲 领导 下 的 利比亚	是	世界 重要 的 石油 开采 与 输出 国 之
圣玛丽 教堂	扩建	多 年 后
毛 里求斯 本岛	夺得	过 不少 奖牌
该片	加映	和 《 玩具 总 动员 2 》 同场
肺炎	感染	新型 冠狀 病毒
亚洲 国家	建交	巴拉圭
战争	使	英 法德 等 国家 元氣 大傷
冬天 的 巴黎	有	許多 暱称
英国 和 苏 联 政府	入侵	伊朗
邓	出访	美国
巴拉圭	保持	与 日本
意大利	将 保持	中立
这 个 花 粉囊 和 雌蕊	发现	花
现代 加拿大	有	原 住民 在 现代 加拿大 生活
香港	成 为	一 个 安稳 太平 的 城市
苏联	一直 有	技术 困难
马克斯 · 玻恩	前往	英國
这	不是	一 次 盲测
印度	攻取	果 阿与 达曼 - 第乌
此	受到	马来 - 波利尼西亚 语族 中 的 汤加 语 的 影响
180 个 国家 和 地区	包含	中国
德國	接 种	Moderna 疫苗
在 低温下 电解 稀硫 酸, 或 将 液体 氧气 加热	可 制得	臭氧
现代 加拿大	签署	并 加入 公民 权利 和 政治 权利 国际 公约
数据	超过	10亿 用户
乳房	是	女性 除 生殖 器 以外 最性 敏感 的 器官
男性	为	88.06%
女性	有丰 满	乳房
南非	成立	了 臨時 行政 当局
餐廳 的 侍应	是	穆斯林
欧盟	决定	对 疫苗 实行 出口 管控 措施
白宮	位	于 美国 华盛顿特 区 西北 区
卡巴迪	可分	为 二 种
冬天 的 巴黎	被 分类	在 法國 大 革命 期间
政府	决定 投放	庞 大資 金入 市 干预
今天 的 浦那	即有 记录	至少 从 937
法律	通过	民主 议会 所
雅典 同盟 及 雅典 同盟 继承 者	获得	独立
新加坡 共和 国	领先	于 香港
这	是	一 次 有 計劃 的 行动
人物	传 遞	信息
第28 代 禪 宗祖 师 菩提 达 摩方	传至	中国
火山	成	在 数十万 年 前 更 新 世形
冬天 的 巴黎	是	法國 的 鐵路 中心
能量	必	遵守 慣性 原理
宾头娑罗	去世	于 前 272
芬兰	有	309 个 市镇
这	引发	争議
德國	建議	不要 为 30 岁 以下 的 人接 种 Moderna 疫苗
意大利 政府	关押	朱 塞佩 · 加里 波 底 一 段 时间
俄语	被 使用	混合 语
亚洲	包括	中东 地区
卡瓦力	演唱	历史 上 最 重要 的 歌手
英国	将 继续	执行 欧洲 联盟 法律 和 其他 经貿 协议
疫苗	生产	在 欧盟 内
克塔克	属	印度 孟加拉 管辖 区
新加坡 共和 国	成立	马来西亚 联邦
因事	告訴	英国
托马斯 · 杰斐逊 总统	开放	白宮
战争	从 未	在 美洲 本土
马赛 城市	已 成	重要 港口 城市
印度	占据	3/5
潘恩	不会	法语
此	断时	在关 机 或 電源 意外
佛教	发展	在 美国 近年
硫化氫	可 微 溶於 水 形成	弱酸
欧洲 联盟	开始 起草	欧洲
这	开启	福岡 自然 農塾
光	会 观察	到 光 电子 发射
患者	屈曲	患者 颈部
今天 的 浦那	有	数百 大小 信息 技术 公司
高大 的 草本 植物	算 是	树
这	亦 给予	香港 政府 的 一 个 机会
印度 共和 国	积极 开辟	殖民 地
佛教	历 过	无比 的 輝煌
香港	施打	130 万 剂 疫苗
冬天 的 巴黎	才 获得	丰富 且 稳定 的 飲用 水 来源
伊斯兰 教	迁出	麦加
今天 凤凰 城	气候	干燥
女性	为	31076 美
硫化氫	可 微 溶於	水
该 地区	脱 离	埃塞俄比亚
乙醚	存在	以 过氧 化物 的 形式
Adobe 公司	过渡	向 HTML5
佛教	存在	依因缘 而
人体	含有	2,750 - 3,300 毫升 血漿
詹姆斯 · 瓦特	持续	成功
新加坡 共和 国	被 誉	亚洲 四 小 龙 」 之 一
迈索尔	接待	大量 游客
政党	占据	次多 议席
签名	获取	用触 摸板
现代 加拿大	积极 参与	维和 任务, 包括 在 前南斯拉夫 的 维和 行动
这	是	二 价 锌 化合 物 最 典型 的 几何 结构
黑天	利用 神通 来 给养	父母 和 牧民 带来 许多 麻烦
林丹	参加	印尼雅加达 举行 的 世界 羽毛 球 錦 标赛
马斯喀特	是	阿曼 的 首都
詹姆斯 · 瓦特	安葬	于 公墓
安卡拉	是	以 英勇 、 无 惧为 主题 的 一 种 舞蹈
巴拉圭 共和 国	是	国家
世界 排名 已跌 至 286 名 的 林丹	输给	了 队友 鲍春
詹姆斯 · 瓦特	拒绝	格拉斯哥 的 锤业 者 行会
疫苗	没有 针对	SARS 的 经过 试验
香港	表该 年度 获 誉为	华人 娱樂 码 头
香港	每日 获 誉为	华人 娱樂 码 头
邓	控制	西藏
伊拉克	被 迫	同意 一 个 由 苏联 提出 的 停火 协议
白宮	设计	由 爱尔 兰 裔 建築 师
现代 加拿大	占据	北 美洲 北部 的 大 部分 地区
这	直接 影响	公众 的 健康 、 安全 和 福利
1	反对	6 票 棄权
这	使得	太空望 远 镜 更 适合 用 於 紅外 观測
法律	使用	波隆那 大学 的 学者 所
新加坡 共和 国	保留	华语 能力
冬天 的 巴黎	开始	向 塞納 河 右岸 发展
香港	誉为	華人 娱樂 码 头
该片	将是	首部 在 IMAX 影厅 放映 的 邦德 电影
辛签 署	加入	印度 联邦
斯托克顿 和 卡尼	继续 收复	洛杉矶
印度	有	8,500,000 佛 教徒
生物	活著	地球 上
这	有 关 堅持	四 项 基本 原则
美国	长达	八 年
泰勒斯	下启	阿那克 西美尼
政府	设置	酒务 以 征酒 税
摩洛哥	加入	阿拉伯 国家 联盟
法国 政府	查禁	前進 周刊
阿那克西曼德	还 担任	米利都 在 黑海 海岸 边 阿波罗尼亚 的 殖民 地 领袖
巴基斯坦	授权 紧急 使用	新冠 疫苗
今天 的 浦那	逐渐 成 为	一 个 重要 的 信息 技术 基地
乙炔	烧	在 氧气
黑天	厌倦	了 牧场
巴基斯坦	也 进行	了 核 试验
佛神	造成	武器
凯茜	的 原住 民人	澳洲
马赛 城市	拥有	多 个 嘻哈乐 队, 包括 、 等
训练	用	经验 控制 比赛
历史	可 追溯	至 3000 年 前
超 微 科技	出现	世界 上
己烷	可以 发生	燃烧 反应
印度 政府	大力 投资	本国 高等 教育
意大利	攻佔	阿尔巴尼 亚
計畫	離开	政府
树	也 常用	高度 来定 義
佛教	建立	为 在 家 信徒 的 家庭 传统
催眠	不能 帮助	人 们 更準 確地 回憶 事件
原始 月球	开始	失去 挥發 性 物质
今天 的 浦那	有	与 其他 城市
CpG 岛 内胞 嘧 啶	不易 形成	突变
陆军	驻	柏林
印度	出兵	克什米尔實
林丹	赢来	了 首个 冠军
锡金	被 正式 吞并	印度
世界	排名	第44
的 结果	诠释	哥本哈根
蘆荻	又 名	芦 竹
这	产生	1947 年 的 《
香港	是	排名 首位
议会	可以 修改	宪法
巴林 王国 ('), 通称 巴林 (') 公民	都是	穆斯林
毛 里求斯 本岛	交好	与 西方
卡尔 · 林奈	回到	瑞典
英国 和 波兰 政府	试图 包围	纳粹 德國
父亲	带	当卡尔 · 林奈 看花
先知 穆罕默德	例如	穆斯林 不 承认 耶稣 的 神性
时间	花	在 在 经營 事業
该 设备	支持	4G 网络
皮肤	接触	硝酸
欧麦尔 的	坚决 反对	先知 穆罕默德
土耳其	转而 在 欧洲 联盟 之间	以 获取 最大 利益
乙炔	是	无色 、 极 易燃 的 气體
现代 加拿大	参加	1990 年 波斯 湾 战争
冬天 的 巴黎	位	于 塞納 河 沿岸
北 美	相接	与 任何 州份
民主	受到 威脅	香港 和 世界 各地
这	会 丧失	人心
2014 年 的 一 项 研究	用	分子
民众	皈依	伊斯兰教
冬天 的 巴黎	是	启蒙 时代 教育 及 文化 中心
这	是	美国 历史 上 最为 惨烈 的 战役
76.1% 的 明尼苏达 州 选民	参加	投票
詹姆斯 · 瓦特	防止	其他 人 介入
战争	展開	公元 66
唾液	帮助	形成 食团
吉哈德	为防	卫战
北军	缺乏	训练
少量 的 新 元素	有	地球 上
土壤 的 水分	溶解	其中
摩纳哥	获得	欧元 硬币 的 铸造 权
其中	包括	帕尔瓦迪 山 上 的 庙
这	拓展	数学 的 研究 範疇
林奈離 开荷兰	返回	瑞典
West Auckland Town F.C	代表	英国
生物	负责	引进 能量 到 生态 系统
许多 亲朋 好友	仍 滞留	德國
该片	下令	立即 停止 制作
印度 共和 国	生产	1000 部 电影
巴西	不 承认	美国 国务 院 发表 人权 报告 的 合法 性
柏林	变成	一 座 孤岛
法官	扮演	著重 要 的 角色
安卡拉	成	新 首都
现代 加拿大	终结	与 英国 特殊 关系
佛教	可以 装	宝 石 、 咒语
林丹	夺取	世青 赛 冠军
公司	持股	在 百分 之 二十 至 百分 之 五十 之间
今天 的 浦那	引入	现代 城市 规划 和 发展
的 许多 民主 改革	推行	印度 政府
马赛 城市	位	于 地中 海 北岸
工业	用	乙炔
奇特拉尔	已经 决定 加入	巴基斯坦
臭氧	可使	许 多 有 机色 素 褪色
佛教	传入	在 西汉 末
微软	合作 完成	与 3Com
72% 的 佛教 徒	居住	国家
新加坡 共和 国	架设	自动 电子 收费 系统
法律	涉	种族 歧视
酸	可 发生	酸 碱 中 和 反应
现代 加拿大	被 国际 公认 为	中 等 强国
瘟疫	是 指	某种 流行 病 的 大 范围 爆发
臭氧	主要 存在	于 臭氧 层 下部 的 臭氧 层
香港 政府	成立	民政 及 新聞 科
原始 聚落	不是	城市
女性	感到	对 乳房 的 不对 称
希瓦吉	建立	了 马拉地 帝国
最 常見 的 国家	为	印度
苏联	加盟	共和 国 和 自治 共和 国 苏联
当时 最	有 影响	力
今天 的 浦那	名列	第145 宜居城 市
邓	染上	伤寒
城市	让	生活 更 美好
靛蓝航空	干租	22 架 飞机 以 应对 航線
彭定康	推行	民主
纳尔逊 · 霍-{} - 利萨薩 · 曼德拉	提出	离婚
德国	转守	由攻
潘恩	前往	法国
叙利亚	签署	了 建交 公报
香港	爆发	反对 逃犯 条例 修訂 草案 运动
马赛 城市	位	于 法国 地 中海 沿岸
巴拉圭	執政	由 红党
新加坡 共和 国	可以 连任	一 次
英国	留	在 欧盟
铅	被 用	于 饮用 水 的 管道 焊接
这 37.3% 阿尔巴尼亚 人中 的 52.06%	为	穆斯林
臭氧	是	抗磁 性
该片	入选	国家 电影 登记 表
政府	减少	中国 公民 签证 程序
卡達 政府	签署	与 伊朗
土地 河流 等 自然 景观	感到	興趣
美国	接种	第一 剂 辉瑞 或 莫德纳 疫苗
印度	曾	为 佛教 的 兴盛 之地
日本 農民 和 哲學 家 福岡 正信	使用	日語
俄罗斯	建立	在 17 世纪 在 阿拉斯加 州
这	不 单单 只 是	君主 复辟
拜占庭 建筑 的 顶峰	要属	圣索菲亚 大 教堂
声明	加入	印度
一些 片段	称	基因
穆斯林	皈依	伊斯兰教
这	仍 未 挽回	甲骨文 公司 的 尴尬 状况
意大利	感觉	意大利 已 成 为 轴心 国 的 二 流 角色
印度	脱 离	英国 统治
这些 政治 组织	不惜 肆意 使用 暴力 来 争取	注意
萨尼 王室	统治	卡塔尔
四周 国 境线	被	南非
英 国甫	占 领	香港
马赛 城市	是	马赛 奥林匹克 足球 队 的 官方 电视 媒体
印度	取得	独立
纳粹 德国	投降	向 协约 国
工作 、 良好 的 食物 和 饮水	有 接受	教育
政府	企图	矯正 市场
大 规模 武装 扩军	入侵 波兰 打响	第二 次 世界 大战
毛 里求斯 本岛	已经 建立	完全 的 市场 经济
的 居住 区	指定	政府
伊拉克	入侵	毗邻 的 邻国
纳粹 德國	正式 簽署	与 意大利
亚洲	成长	第二 快 的 低 成本 航空 公司
新加坡 政府	开始 考虑	其他 的 发展 政策
国家	位	于 欧洲 东南 部 、 巴尔幹 半島 西南
詹姆斯 · 瓦特	不得 不另 找	一 份 运河 测量 员 的 工作
阿那克西曼德	出生	于 第42 届 奥林匹克 运动 会 后 的 第三 年
美国 政府	说谎	在 越战 问 题
的 意大利 南部	控制	西班牙
意大利	取得	一 个 陆路 进入 巴尔干 半岛 的 跳板
邓 小平 故居 陈 列室	坐落	其中
今天 的 浦那	有	众多 大型 电影 院
男性	为	64.79%
黄華 、 耿变得二 人	不 駐兵	香港
英 美	签定	俄勒冈 条约
本片	实现	机智 与 派头
本片	现出	恰到 好处 的 尺度
这 个 节日	开始	1894 年
马赛 城市	是	法国 重要 的 旅游 城市
伦敦	发生	这 次 大火
美国	发生	700 起 事件
硼砂	还 得到	硫酸钠
英國	正式 启动	脱欧 程序
女性	为	86.7岁
安卡拉	得以 抵抗	突厥 人 的 入侵
美国	制定	对 伊拉克 政策
巴基斯坦	突然 进行 反击 割断	朋区 与 乌力 之间 的 道路
莱索托	引发	了 反抗 起义
詹姆斯 · 瓦特	被 列	在 第22
法律	是	一 种 「 规则 系 统
英國	簽訂	中 英 联合 声明
美国	决定	展 现出 智慧 和 道德 领 导力
冬天 的 巴黎	就 逐漸 成	法國 鐵 路 網 的 中心
能量	来	自 腺苷三 磷酸 或 烟醯胺腺嘌 呤 二核苷酸
该船	抵达	英國
德国	打破	欧洲 各国 对 德国 作出 的 各种 限制
苏联	则要 确保	苏联 在 中亞 北部 的 统治 地位
意大利	将 继续 肩作 战 以 避免	在 意大利 的 德军 采取 任何 报复 行动
国家	支持	印度
新加坡 共和 国	有	五 所 理工 学院 与 三 所 大专 学府
现代 加拿大	正 在 经历	人口 转型
马赛 城市	成立	法国 唯一 的
政府	更 保育	曾 灶財 书法 作品
男性	为	50.47%
Nexus 5	将 无法 得到	谷歌 官方 Android 7.0 (Nougat) 以及 之后 的 版本 更新
火	被 当作	上天 的 口
美国 宪法	是	最 重要 的 法律 来源
世界 排名 已跌 至 286 名 的 林丹	获得	广州 亚运会 最有 价值 运动 员 称号
本土 派 及 自決 派 区 议 员	取消	政府
原始 月球	是	以 同 一 面 朝向 早期 地球
石油	所 制造	由 荷属 东 印度
巴拉圭	转 为	文 人 政府
男性	接触	人群 感染 HIV
城市	排名	第一
生命	是	从 演化
阿加尔塔拉	位	于 印度 西部
香港	湧 现	本地 原创 音乐 乐队 組合
康拉德 · 葛雷夫	弹奏	钢琴
紀念	曾 经 访 问	安卡拉
现代 加拿大	牺牲	158 名 士兵
营养	产生	叶子
毛 里求斯 本岛	已 不 见渡	渡鳥 的 踪影
恩圭马 时期 的 赤道 几内亚	被 列入	世界 最 不 发达 国家 名单
该国	出现	两 名 护士 接种 疫苗
马赛 城市	属 于	地中 海 气候
美国	曾 派遣	第七 艘 舰 队到 孟加拉 湾 戒備
这	是	联 合國 第一 次 执行 维和 行动
最快 的 宗教	增长	世上
印度	带入	已 开 发 国家 的 行列
哥本 哈根	位	于 冰川 时期 留 下来 的 冰 碛 层
法语	曾 是	除 了 中古 汉语 以外
印度	使用	类似 的 战术 来 支援 东 巴基斯坦
波兰	被 占领	苏联 政府
意大利 政府	不 支持	这 场 斗争
其中	包含	全球 濒 危物 种翎 的 种类
宾头娑罗	维持	与 各 希腊 化 国家
树	本意 是	一 个 人 为分 类法
巴基斯坦	保留	君主 制 和 总督
此	被 列为	互联 网敌 人 之 一
萧伯纳	会 瀏 览	倫敦 美術 館及 国家 画廊
