colonos romanos	aprendieron	latín.
la ciudad de Copenhague	ha convertido	el centro de un área metropolitana más grande
Islam	fue llevado	a Lakshadweep
George Bernard Shaw	no quedó impresionado	por la Federación Socialdemócrata
Singapur	mantiene	una lista de cien sitios
ADN	realiza	muchas tareas como máquinas moleculares en las células.
Rumi, de dieciocho años,	tomó	Islam
Adolf Hitler	era	elegible para libertad
los británicos	por no	informar a los turistas sobre el santuario de cocodrilos y el peligro
el Gobierno de Bangladesh	otorgó	al Gobierno de Bangladesh el premio estatal más alto para no nacionales
Phoolan Devi	murió	en un tiroteo entre pandilleros
Australia	tenía	una ventaja de 350 carreras
Archibald Blair	es teniente de la Marina de	Bombay
isla de Hong Kong	tiene un promedio	1.709 horas de sol al año
Abraham Lincoln	defenderse de	los esfuerzos de los radicales
los chinos	ayudaron	los aviadores estadounidenses supervivientes
el país de Bangladesh	ocupó	primer
William Shakespeare	más representadas	obras
la Federación de Rusia	ha llevado a cabo la	ocupación militar
el Corán	relata	los nombres de numerosas figuras
Joseph Priestley	argumenta	que la ciencia podría destruir la "autoridad indebida y usurpada"
la Península Arábiga	limitada	por el este de Egipto
Isaac Newton	en realidad no usó	el término
el director	dio	Carl Linnaeus
Edmund Hillary	es Edmund Hillary hijo de	Peter
John Adams	no celebró	el crecimiento de un "carácter nacional
La iglesia católica	tuvo	una caída del 8%
Albania	comenzó a desarrollar	relaciones exteriores con otros países comunistas.
el Imperio Vijayanagara	siguió	la historia de Kampili
John Adams	no le escribió	a Abigail Smith, de 15 años.
Singapur	oficialmente	parte de los Acuerdos del Estrecho
el estado de Hyderabad	se dividió	como parte de la Ley de reorganización de los estados
Japón	continuó	haciendo retroceder a las fuerzas chinas
Ali	aceptó a regañadientes	ser elegido el próximo califa después de Uthman
Carl Friedrich Gauss	era	analfabeto
el idioma sami	logra	mismo estatus legal con el sueco al otro lado de la frontera
un submarino	para transportar	Subhas Chandra Bose
Sri Lanka	convirtió	la base de la escuela Madhyamaka de Nagarjuna
Alaska	fue ocupada	por varios pueblos indígenas
sulfuro de hidrógeno	generado	en este proceso
Wi-Fi	está integrado	en teléfonos inteligentes, tabletas y computadoras portátiles
El país más seco del África subsahariana	estar situado	entre los desiertos de Namib y Kalahari
circuncisión	comenzó	en un área geográfica
Lord Byron	aceptó	propuestas para George Gordon Byron, sexto barón Byron
Skyfall	se estrenará	en IMAX
Friedrich Nietzsche	rechazó	el principio de igualdad
ácido acético	es	menudo un producto secundario de diferentes reacciones.
Alemania	desaconsejó	la vacuna Moderna para menores de 30
Shanghái	experimenta	cuatro estaciones distintas
Fiji	tiene	fuerzas armadas bastante grandes
Tiempo	etiquetado	Judy Garland
Uno de los trofeos del torneo de la Copa Mundial de la FIFA	se llamaba	FIFA
John Adams	acordó asistir a	líneas del partido para apoyar la compra de Thomas Jefferson Louisiana
densidad	es	en gramos por centímetro cúbico.
India	fue	de la participación de la Guerra Sino-India en el Tíbet
mediados de abril	a finales de	junio
El país más seco del África subsahariana	busca	convertirse en un centro de transporte regional
Aceite de coco	para disminuir	eliminación de la placa con fototerapia
Jawaharlal Nehru	encarcelado	en agosto de 1953
África subsahariana	para realizar	todas las demás funciones normalmente realizadas por un banco central
Bidya Devi Bhandari	unió	al Partido Comunista de Nepal
Arcturus	puede usarse	en el sentido de la constelación en lugar de la estrella
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	desempeñó	en juntas aeroespaciales adicionales
25 familias	habían llegado	Cuba
Carl Linnaeus	agregó	una segunda especie al género.
El ejército francés	entró	Roma
George Bernard Shaw	burlándose	del heroísmo y el patriotismo, la inteligencia despiadada y copiando a WS
Libia	oficialmente el Estado de Libia	la Declaración Constitucional provisional de Libia del 3 de agosto de 2011
Carl Linnaeus	se había	familiarizado bien con la literatura botánica existente
Bacterias	que aparecerán	en la Tierra
Osama bin Laden, financiado por la CIA estadounidense,	entrenó	Osama bin Laden
George Herbert Walker Bush	estaba	de licencia de la Marina de los Estados Unidos
Oracle Systems Corporation	por pagar	sobornos a funcionarios gubernamentales
Ludwig van Beethoven	regresará	a Bonn
India británica	tendrá	población actual de alrededor de 0,9 millones
Pune	es	una ciudad montañosa
Évariste Galois	llegó fuertemente armado	con varias pistolas, un rifle cargado y una daga.
budismo	influyó	los movimientos vanguardistas modernos
Skype Technologies SA, con sede	seguirá trabajando	en Windows RT
los Adivasi de la India	han sido oprimidos	por el "grupo superior
Bamako	es	el Hospital Gabriel Touré
O Umar	preguntó	sobre el impuesto cobrado a Abu Lu'lu'a
Slumdog Millionaire	fue nominado	a diez premios de la Academia
Delta Air Lines	lanzó	un programa de viajero frecuente
Oracle Systems Corporation	había adquirido	DataScience.com
Singapur	atenderá	al menos a un millón de pacientes extranjeros
Finlandia	tiene	contra la corrupción del gobierno
Srinivasa Ramanujan	murió	en 1920
Bruce Lee	escribió	20 de julio de 1973
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen	Armstrong, desarrollará	un plan para vuelos espaciales civiles estadounidenses
Corporación Municipal de Ranchi	está ubicada	en la parte sur de la meseta de Chota Nagpur.
Alemania nazi	sufrió	5,3 millones de pérdidas militares
El Municipio de Agartala	obtuvo	condición de Estado del Municipio de Agartala
la pelicula	salio	en 2007
primera dama Nancy Reagan	obtuvo	una victoria aplastante en la reelección
Tipu Sultan	es el sucesor de	Mysore
ZnO	convierte	al motivo de sal de roca
Thomas Jefferson	rechazó	la nominación
Pablo Picasso	viviendo	en Le Bateau - Lavoir en Montmartre
la dinastía Al Bu Sa'id	ha gobernado	Omán
sur de la India	tenía	las tradiciones religiosas y sociales de los Rajputs.
la ciudad de Copenhague	es	una ciudad verde con muchos parques, tanto grandes como pequeños
Carl Linnaeus	nunca se convertiría en	un erudito
Shanghái	también es conocido	por Shanghái
el Comando Naval del Este de la India, bajo el mando del vicealmirante Nilakanta Krishnan,	aisló completamente	oeste de Pakistán
Asamblea	es General de	Delaware
La Soho Foundry Watt	tuvo	el proceso de sal y ácido sulfúrico
Charles - Édouard Jeanneret	describió	este proyecto
Ankara	convirtió	la capital del nuevo Tema Bucelariano
el London Palladium	actuando	con Judy Garland
Omán	es	Omán (Bēṯ Mazūnāy ē "tierra de los Maganites
el Sol	gira	alrededor de la Tierra para explicar el movimiento de Marte
Lord Byron	deforme	Pie
río	es nacional de	Mississippi
Bruce Lee	involucrado	en una pelea en una azotea
el Grupo de Acción Ministerial de la Commonwealth	votó para cambiar	Fiji
Reinhold Hanisch	ayudó a	Adolf Hitler
Adolf Hitler	denunció	capitalismo internacional y el comunismo como parte de una conspiración judía
Osama bin Laden	aprobó	rebeldes islamistas en el Sáhara
1860	se celebró	en Decatur
Dios	escogió usar el	bautismo como un vehículo
innovación de la técnica de fundición del mineral	como fin	la Edad de Piedra de Europa
asma	se clasifica clínicamente	según la frecuencia de los síntomas
Madera	para la construcción	carretas, aperos de labranza, botes, canoas y en la construcción naval
musulmanes	permanecieron	en paz.
Japón	siguió impulsando	la Ciudad Libre de Danzig
John Adams	no resistió	intentos del capitán Samuel Tucker de deportar a los extranjeros
el joven farmacéutico Asa Griggs Candler	filmó	tres comerciales para Coca - Cola Co.
Naciones Unidas	nombró a su sucesor	desmilitarización
la ciudad capital de Thimphu	basa	en el aeropuerto de Paro
un Dios	envió	al profeta Mahoma como último profeta
Phoolan Devi	estaba	en libertad
Nirmala Sitharaman	unió	al BJP
Abraham Lincoln	convirtió	el ejemplo favorito de los intelectuales liberales de todo el mundo.
Slumdog Millionaire	observa	grandes aumentos en la recaudación en la región de Asia y el Pacífico
Carl Linnaeus	era	en realidad un poeta
Qatar	alberga	Campeonato Asiático de Voleibol
la ciudad de Copenhague	tuvo	crecimiento espectacular como ciudad
George Herbert Walker Bush	votó	por el candidato demócrata
monte Canopus o Canopus Hill	fue estudiado	en el ultravioleta por un satélite astronómico temprano
Arcturus	se moverá	con un grupo de otras 52 estrellas similares
7 %	utilizaba	idioma ruso
Philippine Airlines	opera	un centro principal
Bahréin	prometió	introducir reformas y evitar que se repitan los "sucesos dolorosos"
español	se habla más	que el inglés.
el estado de Karnataka	se encuentra	a orillas del río Krishna
Delta Air Lines	realizó	un pedido de 100 Boeing 737-900ER
al este del Gran Valle del Rift se el	encuentra	lago Malawi
los adivasi de la India	disfrutaban	autonomía
los Estados Confederados de América	protestaron	la política de prisioneros confederados para luchar contra los indios
Principales eventos históricos	relacionados	Pune
Primera Dama Nancy Reagan	anunció	intención de la Primera Dama Nancy Reagan
Alemania nazi	hizo	las demandas alemanas a Polonia.
fascismo	adoptó políticas como la promoción de los valores familiares	el número de mujeres en la fuerza laboral
Virat Kohli	es	vegetariano y no vegano
Los responsables políticos europeos	aumentaron	La Unión Europea
el sitio de Pompeya	con agua corriente	por un ramal del Acueducto Serino
fuerzas	ocuparon	Lahore
Las raíces de	pudica	Mimosa pudica
Europa	También se ha hecho referencia	en relación con la Unión Europea.
presidente de los Estados Unidos, George W.	Bush, habló	sobre Osama bin Laden
La revolución verde de China	condujo	a una reducción de la tierra
Avalokiteśvara	es adorada	como Nātha en Sri Lanka
John Adams	usó	terminología deísta
ozono	comparación	con el oxígeno
Sri Aurobindo	fue arrestado	después de una serie de atentados
Musulmanes	ofrecidos	en Masjid al-Haram
Thomas Paine	asaltado	en decenas de obras
Las grandes potencias	fueron las vencedoras de	la guerra.
Gregory B. Craig	es abogado de	Casa Blanca
John Adams	acordó asistir a	larga carrera en el servicio público
Louis Pasteur	para emitir	juicios sensatos sobre los procesos patológicos y los síntomas de la enfermedad
Swami Vivekananda	vino	a
Primera Dama Nancy Reagan	basó	en esfuerzos anteriores
Primera Dama Nancy Reagan	describió públicamente	la Unión Soviética como un "imperio del mal".
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	terminó al	sur de la Base de la Fuerza Aérea Nellis
Ricardo Ffrench - Davis Gabriel Boric	defendió	un programa para poner en libertad condicional a 400 presos en Valparaíso
el Abraham Lincoln de mediana edad	pidió	sólo
Rumi, de dieciocho años,	también era conocido	como "mullah del ron".
cálculo	fue ampliado en gran medida	en el siglo XVIII por el matemático alemán David Hilbert.
cristianismo	es	la religión más grande en la Unión Europea
Magnus Carlsen	fue el ganador del	Torneo de Candidatos 2013
Evangelista Torricelli	convirtió también	en alumno del matemático Bonaventura Cavalieri
Facebook	hizo	que los mensajes automatizados no incluyeran características de privacidad apropiadas
Lin Dan	obtuvo	el mismo resultado en China Masters y China Open
Fiyi	fue sacudido	por dos motines
Peter Evans	es discípulo directo de	Paramahansa Yogananda
Slumdog Millionaire	recibió	excelentes críticas de los críticos
La cumbre del monte Fuji	se ha considerado	sagrada
Virat Kohli	hizo	India alcanzara el objetivo de 173
Pune	también se conoce	como el 'Oxford del Este
Bruce Lee	estudió	teatro y filosofía asiática y occidental.
India	es el Royal Colombo Golf Club del	sur de Asia
Finlandia	industrializó rápidamente	y desarrolló una economía avanzada
Abraham Lincoln	ganó	solo dos de 996 condados en todos los estados del sur
Facebook	para sembrar	discordia
la Federación Rusa	apoyó	Raul Khadjimba
El Washington Post	conocido	como el "Post y
Federico Fellini	recibirá a	la Film Society del Lincoln Center
Virat Kohli	fue nombrado	Hombre del Partido por Virat Kohli
Judy Garland	había hecho	una prueba para Metro-Goldwyn - Mayer Studios en Culver City
un estilo arquitectónico islámico distinto y glorioso	desarrolló	Bengala Oriental
Paraguay	encuentra	entre las latitudes 19° y 28°S
Ludwig van Beethoven	sufrió	un daño hepático significativo
árabe	es	el idioma oficial de Bahrein.
Aaron Hillel Swartz	habló	sobre el tema
Carlos Antonio López	modernizó	Paraguay
Richard Miniter	es autor de	Osama bin Laden
El Municipio de Agartala	es la sede de	la'Cerro Tippera
España	envió varias expediciones a Alaska	España reclama la costa noroeste del Pacífico
Virat Kohli	anotará	20.000 carreras en cricket internacional
Los militares	apoderaron de	Níger
India	administró	Azad Cachemira por la fuerza
August	hizo	en el famoso experimento
Joseph Priestley	dio	conferencias sobre anatomía
Los Kushan	patrocinaron	budismo.
Viena	homenajeó	Ludwig van Beethoven
pH bajo	también derrite	ADN
el tiempo	necesario	para pintar cada avión
Arundo donax	encuentra	en sitios perturbados, dunas de arena, humedales y ribereños.
ADN	puede influir	el fenotipo de un organismo
Abraham Lincoln	se	experto en usar un hacha
Monte Canopus o Canopus Hill	es	esencialmente blanco
Marsella	dejando	solo la columnata de piedra y el peristilo de la fachada original
primera dama Nancy Reagan	tenía	conocimiento previo del caso Contra
los británicos	se	enteraron de los suministros del ejército de EE. UU. en Danbury
Virat Kohli	ganó	el premio al hombre del partido
los Estados Unidos de América	para cumplir	obligaciones de préstamos anteriores
George Bernard Shaw	comenzó a perder	fe
Abraham Lincoln	argumentó	William
Charles - Édouard Jeanneret	comenzó	la Villa Savoye
Phoolan Devi	estaba	mal de salud y la mayor parte de Phoolan Devi
Gautama Buda	nació	en la comunidad Shakya
Carl Friedrich Gauss	tuvo	tres hijos más
George Bernard Shaw	es	26 de julio de 1856
