కనెక్టికట్ రాష్ట్రం	కేంద్రంగా ఉంది	తుపాకీ తయారీకి
హొరాషియో నెల్సన్	డానో-నార్వేజియన్ నౌకాదళం	కోపెన్‌హాగన్ నగరంపై
రాధికా ఆప్టే	నటించనుంది	భారీ బ్లాక్ బస్టర్ ప్రొడక్షన్ హిందీ చిత్రంలో
అరిస్టాటిల్	వారసుడు	లైసియంలో
పారిస్ నగరంలో	ఉంది	దాదాపు ఏడు మిలియన్ల జనాభా
కార్ల్ ఫ్రెడరిక్	గాస్,	గాస్సియన్ లాగరిథమ్స్ అని పిలవబడే అనేక ముఖ్యమైన సిద్ధాంతాలను స్వతంత్రంగా తిరిగి కనుగొన్నారు
అండమాన్ మరియు నికోబార్ దీవులు	విలీనం చేయబడ్డాయి	తాత్కాలిక ప్రభుత్వంలో
అబ్రహం లింకన్	చేశారు	బ్లూమింగ్టన్ కన్వెన్షన్ చివరి ప్రసంగం
కార్ల్ లిన్నెయస్	ఖననం చేయబడ్డాడు	ఉప్ప్సల కేథడ్రల్‌లో
జూడీ గార్లాండ్	చూస్తున్నారు	వీల్ చైర్ నుండి
జాన్	ఆడమ్స్	ప్రస్తుత బ్రూక్లిన్ యొక్క ప్రముఖ వైద్య కుటుంబానికి చెందినవాడు
అబ్రహం	లింకన్	మెజారిటీ సాధించలేకపోయాడు
ముస్లింలీగ్ రాజకీయ పక్షం	మొగ్గు చూపింది	ఈ అవార్డుకు
ప్రచ్ఛన్నయుద్ధం	ప్రేరేపిస్తుంది	అశాంతిని మరియు కమ్యూనిజం యొక్క ఆకర్షణను
భవిష్యత్ న్యూయార్క్ మెట్స్ జనరల్ మేనేజర్ బ్రాడీ వాన్ వాగెనెన్ ఆర్మ్‌స్ట్రాంగ్ సదరన్	విడిచిపెట్టారు	కాలిఫోర్నియా విశ్వవిద్యాలయాన్ని
లార్డ్ బైరాన్	గడిపాడు	మూడు సంవత్సరాలు
ఐక్యరాజ్యసమితి	గుర్తించింది	కంబోడియాను
మలేషియాతో విలీనం	అడ్డుకుంటుంది	సింగపూర్‌ను
వైరస్ ఉద్భవించిన చైనా	విమర్శించింది	యూరోపియన్ యూనియన్ ఇటలీకి సంఘీభావం లేదని
మిమోసా పుడికా	తట్టుకోదు	తక్కువ స్థాయి కాంతి లేదా చల్లని ఉష్ణోగ్రతలను
గుంటూరు	నగరం	దక్షిణ భారత దేశములోని ఒక ముఖ్య నగరం
17వ శతాబ్దపు ఫ్రాన్స్	ప్రముఖ	ఆర్థిక కార్యకలాపాలకు
చార్లెస్ - ఎడ్వార్డ్ జీన్నెరెట్	అభివృద్ధి చెందింది	1920ల అంతటా
ఇజ్రాయెల్	ఎదుర్కొంది	యూదు మత ఉగ్రవాదంతో
జింక్ ఆక్సైడ్	రక్షించడానికి	బర్న్ మరియు చర్మానికి ఇతర హాని నుండి
యునైటెడ్ కింగ్‌డమ్	తిరిగి ఇవ్వడానికి	చాగోస్ ద్వీపసమూహాన్ని
ముఠాలో ఫూలన్	దేవి	ఒక్కరే మహిళ
తప్పిపోయిన 1.3 మిలియన్ల ముస్లింలు	చేరుకోలేదు	తూర్పు పాకిస్తాన్‌కు
కై-షేక్	బలవంతం	వంశాన్ని ప్రాంతాల నుండి పారిపోయేలా
పాకిస్తాన్	పరిపాలించింది	ఆజాద్ కాశ్మీర్ మరియు గిల్గిత్ బాల్టిస్తాన్‌లను
బ్రూస్ లీ	చిత్రీకరించడం ప్రారంభించాడు	సహా కొన్ని సన్నివేశాలను
ముహమ్మద్	పంపాడు	ఒక ముస్లిం దూతను తూర్పు అరేబియాలోని ఒక పాలకుడి వద్దకు
జార్జ్ బెర్నార్డ్ షా	అయ్యాడు	ఒంటరి స్వరం తక్కువ
ప్రమాణం	గాత్రదానం చేసే	హీబ్రూ బైబిల్‌కు
అరేబియా	ద్వీపకల్పం	భూమిలో అతిపెద్ద ద్వీపకల్పం
నీరో	గడిపాడు	సాయంత్రం
క్యూబెక్ నగరం	తరలి వెళ్ళేది	కొలరాడోకు
వంట	పెరుగుతుంది	ప్రొటీన్ల జీర్ణశక్తి
ఐక్య రాజ్య సమితి	నిర్వహించింది	ముఖ్యమైన పాత్ర
నాజీ జర్మనీ	చికాకు పరచసాగింది	పదే పదే భూమార్గం ద్వారా ఇంగ్లాండ్ పై దాడులు జరుపుతూ
